notification_id,job_name,exam_name,department,organization,qualification,age,salary,pay_level,vacancies,state,location,category,application_start,application_end,exam_date,result_date,official_website,official_pdf,apply_link,selection_process,application_fee,status,verification_status,verification_source,verification_timestamp,confidence,priority,notes,tags,first_seen,last_checked,days_left,stage
5e61ca17dabf,"IIT BHU Assistant Professor Recruitment 2026: Notification, Online Form | Last Date 31-07-2026",,,IIT BHU Assistant Professor,,,,,,Uttar Pradesh,Uttar Pradesh,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/07/iit-bhu-assistant-professor-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,faculty jobs,institute and university jobs,uttar pradesh jobs",2026-07-13T11:44:56,2026-07-30T09:22:13,1,New
8e156355925a,SAIL Young Professional Recruitment 2026 – Apply Online for 23 Posts | Last Date 31-07-2026,,,SAIL Young Professional,,,,,23,All India,All India,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/07/sail-young-professional-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-16T18:44:28,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,engineer jobs,sail jobs,young professionals",2026-07-13T11:44:56,2026-07-30T09:22:13,1,New
371975abd197,"NBEMS Recruitment 2026: Notification, Online Form, 53 Posts | Last Date 31-07-2026",,,NBEMS,,,,,53,All India,All India,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/06/NBEMS-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,accountant,assistants,it jobs,medical jobs",2026-07-13T11:44:56,2026-07-30T09:22:13,1,New
07e4761c6750,NSU Manipur Recruitment 2026 - Apply Online for 09 Teaching and Non Teaching Posts | Last Date 31-07-2026,,,NSU Manipur,,,,,,Manipur,Manipur,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/07/NSU-Manipur-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,assistants,faculty jobs,manipur jobs,nurse jobs",2026-07-13T11:44:56,2026-07-30T09:22:13,1,New
8907978caea6,RRI Scientific & Technical Posts Recruitment 2026 – Apply Online for 22 Posts | Last Date 31-07-2026,,,RRI Scientific & Technical Posts,,,,,22,Karnataka,Karnataka,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/07/rri-scientific-technical-posts.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,diploma jobs,engineer jobs,it jobs,iti jobs",2026-07-13T20:20:19,2026-07-30T09:22:13,1,New
2a17154f3309,"HPCL GAT Recruitment 2026 – Notification, Apply Online, 358 Posts | Last Date 31-07-2026",,,HPCL GAT,,,,,358,All India,All India,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/07/HPCL-GAT-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-14T23:40:38,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,engineer jobs,hpcl,new",2026-07-14T23:40:32,2026-07-30T09:22:13,1,New
b9a0fb4e85ef,"HPCL GAT Recruitment 2026 – Apply Online for 358 Posts, Notification | Last Date 31-07-2026",,,HPCL GAT,,,,,358,All India,All India,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/07/HPCL-GAT-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,engineer jobs,hpcl",2026-07-16T18:44:24,2026-07-30T09:22:13,1,New
1a07aca555d6,"UPSC Advertisement No. 08/2026: Notification, Online Form, 48 Posts | Last Date 31-07-2026",,,"UPSC Advertisement No. 08/2026: Notification, Online Form, 4",,,,,48,All India,All India,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/07/UPSC-Advertisement-No-08-2026.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,faculty jobs,medical jobs,new,officer jobs",2026-07-16T18:44:24,2026-07-30T09:22:13,1,New
37997fa799c2,Oil India Limited Lab Technician Recruitment 2026 – Apply Online for 02 Posts | Last Date 31-07-2026,,,Oil India Limited Lab Technician,,,,,02,All India,All India,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/07/oil-india-limited-lab-technician.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,oil corporation jobs,technician jobs",2026-07-17T16:17:15,2026-07-30T09:22:13,1,New
30f3e6c371fe,NIELIT Project Engineer Recruitment 2026 – Apply Online for 05 Posts | Last Date 31-07-2026,,,NIELIT Project Engineer,,,,,05,All India,All India,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/07/nielit-project-engineer-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,chennai jobs,engineer jobs,it jobs,nielit",2026-07-17T16:17:15,2026-07-30T09:22:13,1,New
67f4c483d3d8,Bank of Baroda AVP Recruitment 2026 – Apply Online for 05 Posts | Last Date 31-07-2026,,,Bank of Baroda AVP,,,,,05,All India,All India,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/07/bank-of-baroda-avp-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,bank jobs,top level jobs",2026-07-17T16:17:15,2026-07-30T09:22:13,1,New
0800d9fc359e,IOCL Panipat Refinery Apprentice Recruitment 2026: Apply Online for 1450 Posts | Last Date 31-07-2026,,,IOCL Panipat Refinery Apprentice,,,,,1450,Haryana,Haryana,Apprenticeship,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/07/iocl-panipat-refinery-apprentice.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-20T17:05:38,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,apprenticeship training,diploma jobs,haryana jobs,iocl",2026-07-17T23:40:32,2026-07-30T09:22:13,1,New
3d2ca8bdae1c,"ONGC Graduate Trainee Recruitment 2026 – Apply Online for 52 Posts, Notification | Last Date 31-07-2026",,,ONGC Graduate Trainee,,,,,52,All India,All India,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/07/ongc-graduate-trainee-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,engineer jobs,gate 2026 vacancies,geology jobs,ongc jobs",2026-07-18T23:40:35,2026-07-30T09:22:13,1,New
776eea14912b,National Sports University Imphal Recruitment 2026 - Apply for 12 Teaching & Non Teaching Posts | Last Date 31-07-2026,,,National Sports University Imphal,,,,,,Manipur,Manipur,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/06/national-sports-university-nsu-imphal.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,assistants,faculty jobs,manipur jobs,officer jobs",2026-07-25T18:00:26,2026-07-30T09:22:13,1,New
e134cabaa659,"IHMCL Systems Engineer Recruitment 2026: Apply Online, 30 Posts | Last Date 02-08-2026",,,IHMCL Systems Engineer,,,,,30,All India,All India,Job,,2026-08-02,,,,,https://www.indgovtjobs.in/2026/07/IHMCL-Systems-Engineer-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-23T17:53:57,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,engineer jobs,gate 2026 vacancies,new",2026-07-13T11:44:56,2026-07-30T09:22:13,3,New
c311855f6402,"IAF Agniveervayu Musician Recruitment 2026 – Notification, Online Form | Last Date 02-08-2026",,,IAF Agniveervayu Musician,,,,,,All India,All India,Job,,2026-08-02,,,,,https://www.indgovtjobs.in/2026/07/iaf-agniveervayu-musician-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,indian air force jobs,music jobs",2026-07-25T15:28:12,2026-07-30T09:22:13,3,New
e37dc275ae80,NFRA Young Professional Recruitment 2026 – Notification for 09 Posts | Last Date 02-08-2026,,,NFRA Young Professional,,,,,09,Delhi,Delhi,Job,,2026-08-02,,,,,https://www.indgovtjobs.in/2026/06/nfra-young-professional-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,delhi jobs,young professionals",2026-07-25T18:00:26,2026-07-30T09:22:13,3,New
08f756f147d2,SVPUAT Non Teaching Recruitment 2026 – Apply Online for 62 Posts | Last Date 03-08-2026,,,SVPUAT Non Teaching,,,,,62,All India,All India,Job,,2026-08-03,,,,,https://www.indgovtjobs.in/2026/07/svpuat-non-teaching-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-23T17:53:57,0.3,High,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,assistants,computer jobs,driver jobs,institute and university jobs",2026-07-18T23:40:35,2026-07-30T09:22:13,4,New
5d581d65f55c,CSIR CMERI Technician Recruitment 2026: Apply Online for 27 Posts | Last Date 03-08-2026,,,CSIR CMERI Technician,,,,,27,All India,All India,Job,,2026-08-03,,,,,https://www.indgovtjobs.in/2026/07/csir-cmeri-technician-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-28T12:00:36,0.3,High,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,csir,iti jobs,technician jobs",2026-07-23T17:53:51,2026-07-30T09:22:13,4,New
af78f272baa3,NPCIL Kudankulam Recruitment 2026 – Notification for 255 Stipendiary Trainee Posts | Last Date 04-08-2026,,,NPCIL Kudankulam,,,,,,Tamil Nadu,Tamil Nadu,Job,,2026-08-04,,,,,https://www.indgovtjobs.in/2026/07/NPCIL-Kudankulam-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-18T23:40:39,0.3,High,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,iti jobs,npcil,tamil nadu jobs,technician jobs",2026-07-13T11:44:56,2026-07-30T09:22:13,5,New
b1b9a0c16528,"India Post GDS July-2026 cycle - 28,636 Gramin Dak Sevak/BPM/ABPM posts",,Ministry of Communications,Department of Posts,10th pass with Maths and English,18-40,"TRCA Rs 10,000-14,500",,28636,All India,All circles incl. Karnataka,Job,2026-07-15,2026-08-05,,,https://www.indiapost.gov.in/vacancies/online-gds,,https://indiapostgdsonline.gov.in,Merit list from 10th marks - no exam,"Rs 100 (UR), exempt others",Not Applied,Verified with Official Website,official:indiapost.gov.in,2026-07-09T19:37:59,0.85,High,,"india post,gds,10th pass,karnataka",2026-07-09T19:37:59,2026-07-30T09:22:13,6,New
5fecda24a57c,"NHSRCL Technician Recruitment 2026: Notification, Online Form, 237 Posts | Last Date 05-08-2026",,,NHSRCL Technician,,,,,237,All India,All India,Job,,2026-08-05,,,,,https://www.indgovtjobs.in/2026/07/NHSRCL-Technician-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-20T17:05:38,0.3,High,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,iti jobs,technician jobs",2026-07-13T11:44:56,2026-07-30T09:22:13,6,New
dff4ee1eecc9,"BSNL General Manager Recruitment 2026 – Apply Online for 100 Posts, Notification | Last Date 05-08-2026",,,BSNL General Manager,,,,,100,All India,All India,Job,,2026-08-05,,,,,https://www.indgovtjobs.in/2026/07/bsnl-general-manager-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-23T17:53:57,0.3,High,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,bsnl jobs,engineer jobs,manager jobs,new",2026-07-18T23:40:35,2026-07-30T09:22:13,6,New
cef3a64a395c,"CWC Young Professional Recruitment 2026 Apply Online for 06 Posts, Notification | Last Date 05-08-2026",,,CWC Young Professional,,,,,06,Delhi,Delhi,Job,,2026-08-05,,,,,https://www.indgovtjobs.in/2026/07/cwc-young-professional-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-26T22:00:43,0.3,High,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,agriculture,delhi jobs,young professionals",2026-07-20T17:05:33,2026-07-30T09:22:13,6,New
1c88e73f0460,HPPSC Police Constable Recruitment 2026: Apply Online for 734 Posts | Last date 06-08-2026,,,HPPSC Police Constable,,,,,734,Himachal Pradesh,Himachal Pradesh,Job,,2026-08-06,,,,,https://www.indgovtjobs.in/2026/07/hppsc-police-constable-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-18T23:40:39,0.3,High,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,himachal pradesh jobs,police jobs",2026-07-13T11:44:56,2026-07-30T09:22:13,7,New
8e1bf2ea55b6,Indian Army SSC Tech Women Recruitment 2026 – Apply Online for 31 Posts | Last Date 06-08-2026,,,Indian Army SSC Tech Women,,,,,31,All India,All India,Job,,2026-08-06,,,,,https://www.indgovtjobs.in/2026/07/indian-army-ssc-tech-women-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-29T14:50:32,0.3,High,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,indian army,technical jobs",2026-07-13T11:44:56,2026-07-30T09:22:13,7,New
dee64234f7b1,IIT ISM Dhanbad Non-Teaching Recruitment 2026: Apply Online for Junior Assistant & Junior Technician Posts | Last Date 06-08-2026,,,IIT ISM Dhanbad Non-Teaching,,,,,,Jharkhand,Jharkhand,Job,,2026-08-06,,,,,https://www.indgovtjobs.in/2026/07/iit-ism-dhanbad-non-teaching.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-13T11:45:00,0.3,High,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,assistants,institute and university jobs,jharkhand jobs,technician jobs",2026-07-13T11:44:56,2026-07-30T09:22:13,7,New
31c6013ece22,IIT ISM Dhanbad Junior Technical Superintendent Recruitment 2026: Apply Online for 27 Posts | Last Date 06-08-2026,,,IIT ISM Dhanbad Junior Technical Superintendent,,,,,27,Jharkhand,Jharkhand,Job,,2026-08-06,,,,,https://www.indgovtjobs.in/2026/07/ISM-Dhanbad-Junior-Technical-Superintendent.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-13T11:45:00,0.3,High,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,diploma jobs,engineer jobs,institute and university jobs,it jobs",2026-07-13T11:44:56,2026-07-30T09:22:13,7,New
78b2eb6298f6,IIT ISM Dhanbad Non-Teaching Recruitment 2026: Apply Online for 09 Posts | Last Date 06-08-2026,,,IIT ISM Dhanbad Non-Teaching,,,,,09,Jharkhand,Jharkhand,Job,,2026-08-06,,,,,https://www.indgovtjobs.in/2026/07/iit-ism-dhanbad-non-teaching.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,High,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,assistants,institute and university jobs,jharkhand jobs,technician jobs",2026-07-25T18:00:26,2026-07-30T09:22:13,7,New
e1b250da906c,"Indian Army SSC Technical 68th Men April 2027: Notification, Online Form, 350 Posts | Last Date 07-08-2026",,,"Indian Army SSC Technical 68th Men April 2027: Notification,",,,,,350,All India,All India,Job,,2026-08-07,,,,,https://www.indgovtjobs.in/2026/07/indian-army-ssc-technical-68th-men.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Medium,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,engineer jobs,indian army,new,technical jobs",2026-07-13T11:44:56,2026-07-30T09:22:13,8,New
c377f9d8e757,NCR Prayagraj Apprentice Recruitment 2026 – Apply Online 1853 Posts | Last Date 07-08-2026,,,NCR Prayagraj Apprentice,,,,,1853,All India,All India,Apprenticeship,,2026-08-07,,,,,https://www.indgovtjobs.in/2026/07/ncr-prayagraj-apprentice-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Medium,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,apprenticeship training,iti jobs,new,railway jobs",2026-07-13T11:44:56,2026-07-30T09:22:13,8,New
334ab89aef3d,"NICL Assistant Recruitment 2026 – Notification for 500 Posts, Online Form | Last Date 07-08-2026",,,NICL Assistant,,,,,500,All India,All India,Job,,2026-08-07,,,,,https://www.indgovtjobs.in/2026/07/NICL-Assistant-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-20T17:05:38,0.3,Medium,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,assistants,new,nicl",2026-07-17T16:17:15,2026-07-30T09:22:13,8,New
a2f64acca2f0,"NICL Assistant Recruitment 2026 – Apply Online for 500 Posts, Notification | Last Date 07-08-2026",,,NICL Assistant,,,,,500,All India,All India,Job,,2026-08-07,,,,,https://www.indgovtjobs.in/2026/07/NICL-Assistant-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Medium,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,assistants,new,nicl",2026-07-25T15:28:12,2026-07-30T09:22:13,8,New
4e267f6cc482,BSNL Young Professional Recruitment 2026 – Apply Online for 07 Posts | Last Date 08-08-2026,,,BSNL Young Professional,,,,,07,All India,All India,Job,,2026-08-08,,,,,https://www.indgovtjobs.in/2026/07/bsnl-young-professional-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-20T17:05:37,0.3,Medium,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,bsnl jobs,engineer jobs,it jobs,law",2026-07-18T23:40:35,2026-07-30T09:22:13,9,New
fd444b4779a6,NIUM Recruitment 2026: Apply Online for 10 Professional Posts | Last Date 08-08-2026,,,NIUM,,,,,,Telangana,Telangana,Job,,2026-08-08,,,,,https://www.indgovtjobs.in/2026/07/nium-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Medium,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,accountant,engineer jobs,hyderabad jobs,telangana jobs",2026-07-25T16:51:29,2026-07-30T09:22:13,9,New
d66068250c78,"BRIC Scientist Recruitment 2026 – Notification, Online Form | Last Date 09-08-2026",,,BRIC Scientist,,,,,,Odisha,Odisha,Job,,2026-08-09,,,,,https://www.indgovtjobs.in/2026/07/bric-scientist-recruitment-2026.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-20T17:05:38,0.3,Medium,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,odisha jobs,scientist jobs",2026-07-13T23:59:20,2026-07-30T09:22:13,10,New
1533483d1978,Punjab National Bank LBO Recruitment 2026: Apply Online for 545 Posts | Last Date 09-08-2026,,,Punjab National Bank LBO,,,,,545,All India,All India,Job,,2026-08-09,,,,,https://www.indgovtjobs.in/2026/07/punjab-national-bank-lbo-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-28T18:00:35,0.3,Medium,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,bank jobs,new,officer jobs",2026-07-23T17:53:51,2026-07-30T09:22:13,10,New
dc218a8516c5,Botanical Survey of India JRF Recruitment 2026: Apply for 06 Posts | Last Date 09-08-2026,,,Botanical Survey of India JRF,,,,,06,All India,All India,Job,,2026-08-09,,,,,https://www.indgovtjobs.in/2026/07/botanical-survey-of-india-jrf.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-26T22:00:43,0.3,Medium,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,agriculture,kolkata jobs,research jobs",2026-07-23T17:53:51,2026-07-30T09:22:13,10,New
c145c956e397,Sainik School Balachadi Recruitment 2026 – Apply 16 Teaching and Non-Teaching Posts | Last Date 10-08-2026,,,Sainik School Balachadi,,,,,,Gujarat,Gujarat,Job,,2026-08-10,,,,,https://www.indgovtjobs.in/2026/07/sainik-school-balachadi-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Medium,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,clerk jobs,gujarat jobs,nurse jobs,officer jobs",2026-07-20T17:05:33,2026-07-30T09:22:13,11,New
a4dc06505bef,Union Bank of India SO Recruitment 2026: Apply Online for 395 Posts | Last Date 10-08-2026,,,Union Bank of India SO,,,,,395,All India,All India,Job,,2026-08-10,,,,,https://www.indgovtjobs.in/2026/07/union-bank-of-india-so-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-29T14:50:32,0.3,Medium,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,bank jobs,new,officer jobs",2026-07-23T17:53:51,2026-07-30T09:22:13,11,New
